speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory,vernacularNameEl,source_El
2384758,Lutjanus bohar,4127,Two-spot Red Snapper,,,,,Bony fish,LC,No Greek name,No Greek name
2388620,Othos dentex,4127,Harlequin Fish,,,,,Bony fish,LC,No Greek name,No Greek name
2345449,Neoarius graeffei,3917,Blue Catfish,,,,,Bony fish,LC,No Greek name,No Greek name
2351271,Salvelinus fontinalis,3855,Brook Trout,,https://inaturalist-open-data.s3.amazonaws.com/photos/242646325/medium.jpg,https://www.inaturalist.org/observations/211499360,Bruce Deagle,Bony fish,LC,Σαλβελίνος,FishBase
2417860,Rhizoprionodon taylori,3836,Australian Sharpnose Shark,,,,,Sharks & Rays,LC,No Greek name,No Greek name
9619349,Pastinachus ater,3803,Broad Cowtail Stingray,,,,,Sharks & Rays,VU,No Greek name,No Greek name
2497295,Asio flammeus,3784,Short-eared Owl,,https://inaturalist-open-data.s3.amazonaws.com/photos/344405593/medium.jpg,https://www.inaturalist.org/observations/195724174,pkondrashov,Birds,LC,Βαλτόμπουφος,Wikidata
5229230,Sterna paradisaea,3463,Arctic Tern,,https://inaturalist-open-data.s3.amazonaws.com/photos/344300361/medium.jpg,https://www.inaturalist.org/observations/195679642,Blake Ross,Birds,LC,Χιονογλάρονο,WoRMS
2225646,Callinectes sapidus,3346,Atlantic Blue Crab,,https://inaturalist-open-data.s3.amazonaws.com/photos/226510112/medium.jpg,https://www.inaturalist.org/observations/133016863,chantel_pence,Invertebrates,,Γαλαζοκάβουρας,WoRMS
2351209,Coregonus huntsmani,3310,Atlantic Whitefish,,https://inaturalist-open-data.s3.amazonaws.com/photos/29564925/medium.jpeg,https://www.inaturalist.org/observations/19243337,Ian Manning,Bony fish,CR,Ατλαντικός λευκόψαρος,translated from English
8123917,Physeter macrocephalus,3166,Sperm Whale,,,,,Marine mammals,VU,φυσητήρας,Wikidata
2419304,Myliobatis tenuicaudatus,3110,Southern Eagle Ray,,,,,Sharks & Rays,LC,No Greek name,No Greek name
5210141,Plectropomus laevis,2933,Blacksaddle Coralgrouper,,,,,Bony fish,LC,No Greek name,No Greek name
2409330,Platichthys flesus,2804,European Flounder,,https://inaturalist-open-data.s3.amazonaws.com/photos/84144698/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/84144698/medium.jpg,charlienaysmith,Bony fish,LC,Φασί,Wikidata
2434340,Lycalopex culpaeus,2796,Culpeo,,,,,Terrestrial mammals,LC,Αλεπού των Άνδεων,Wikidata
2418347,Mustelus antarcticus,2689,Gummy Shark,,,,,Sharks & Rays,LC,Γαλέος της Ανταρκτικής,https://el.wikipedia.org/wiki/%CE%93%CE%B1%CE%BB%CE%AD%CE%BF%CF%82_(%CE%B1%CF%80%CE%BF%CF%83%CE%B1%CF%86%CE%AE%CE%BD%CE%B9%CF%83%CE%B7)
2418924,Glaucostegus typus,2680,Giant Guitarfish,,,,,Sharks & Rays,CR,No Greek name,No Greek name
2442165,Lepidochelys kempii,2626,Kemp's Ridley Sea Turtle,,,,,Reptiles,CR,Θαλασσοχελώνa του Kemp,WoRMS
5209766,Coris aygula,2599,Clown Coris,,,,,Bony fish,LC,No Greek name,No Greek name
5229165,Aegypius monachus,2450,Cinereous Vulture,,https://inaturalist-open-data.s3.amazonaws.com/photos/547875364/medium.jpg,https://www.inaturalist.org/observations/303944080,Сергей,Birds,NT,Μαυρόγυπας,Wikidata
2381221,Girella elevata,2373,Rock Blackfish,,,,,Bony fish,,No Greek name,No Greek name
5212588,Trachystoma petardi,2373,Pinkeye Mullet,,,,,Bony fish,LC,No Greek name,No Greek name
5210529,Carangoides fulvoguttatus,2306,Yellow Spotted Trevally,,,,,Bony fish,LC,No Greek name,No Greek name
5218774,Otaria byronia,2209,South American Sea Lion,,,,,Marine mammals,LC,Θαλάσσιο Λιοντάρι Της Νότιας Αμερικής,https://www.inaturalist.org/el/taxa/569313-Otaria-byronia
2418789,Sphyrna lewini,2077,Scalloped Hammerhead,,,,,Sharks & Rays,CR,Κτενοζύγαινα,Wikidata
2383502,Notolabrus tetricus,1951,Bluethroat Wrasse,,,,,Bony fish,LC,No Greek name,No Greek name
5216239,Lamna nasus,1814,Porbeagle,,https://inaturalist-open-data.s3.amazonaws.com/photos/261649646/medium.jpg,https://www.inaturalist.org/observations/151628207,mumudu,Sharks & Rays,VU,Λάμνα,Wikidata
9349208,Urogymnus dalyensis,1788,Freshwater Whipray,,,,,Sharks & Rays,LC,No Greek name,No Greek name
2373941,Thunnus maccoyii,1673,Southern Bluefin Tuna,,,,,Bony fish,EN,Νότιος ερυθρός τόνος,https://eclass.upatras.gr/modules/document/file.php/AS164/%CE%A5%CE%94%CE%91%CE%A4%CE%9F%CE%9A%CE%91%CE%9B%CE%9B%CE%99%CE%95%CE%A1%CE%93%CE%95%CE%99%CE%95%CE%A3-%CE%92%CE%99%CE%92%CE%9B%CE%99%CE%9F-LUCAS-%CE%9C%CE%95%CE%A4%CE%91%CE%A6%CE%A1.%20%CE%9C%CE%99%CE%9D%CE%9F%CE%A3-%CE%A7%CE%A9%CE%A4%CE%9F%CE%A3%20%CE%9A.%CE%91.-%CE%9C%CE%95%CE%A1%CE%9F%CE%A3%20%CE%91.pdf
9076083,Himantura australis,1618,Reticulated Whipray,,,,,Sharks & Rays,LC,No Greek name,No Greek name
5215810,Taeniura lymma,1520,Bluespotted Fantail Ray,,,,,Sharks & Rays,LC,No Greek name,No Greek name
2418039,Carcharhinus cautus,1502,Nervous Shark,,,,,Sharks & Rays,LC,No Greek name,No Greek name
2420766,Carcharias taurus,1336,Sand Tiger Shark,,,,,Sharks & Rays,CR,Καρχαρίας ταύρος,Wikidata
2481746,Calidris ruficollis,1288,Red-necked Stint,,https://inaturalist-open-data.s3.amazonaws.com/photos/209826148/medium.jpg,https://www.inaturalist.org/observations/123832758,Cameron Eckert,Birds,NT,Κοκκινόλαιμη Σκαλίδρα,https://poulia4.blogspot.com/2012/11/calidris.html
2400328,Protonibea diacanthus,1275,Black-spotted Croaker,,,,,Bony fish,NT,Σηκιός Μαύρος,https://fish-commercial-names.ec.europa.eu/fish-names/species/protonibea-diacanthus_el
2384936,Lutjanus johnii,1268,Golden Snapper,,,,,Bony fish,LC,No Greek name,No Greek name
2388150,Epinephelus multinotatus,1265,Rankin Cod,,,,,Bony fish,LC,Ροφός Ινδικού,https://fish-commercial-names.ec.europa.eu/fish-names/commercial-designations_el?page=4&ms=GR&msLang=el&rows=100&s=1&v=1
2418774,Hemigaleus australiensis,1223,Australian Weasel Shark,,,,,Sharks & Rays,LC,No Greek name,No Greek name
2418259,Galeorhinus galeus,1217,School Shark,,,,,Sharks & Rays,CR,Γαλέος,Wikidata
2417450,Stegostoma fasciatum,1165,Zebra Shark,,,,,Sharks & Rays,NT,Καρχαρίας ζέβρα,Wikidata
9301034,Hemitrygon fluviorum,1146,Estuary Stingray,,,,,Sharks & Rays,VU,No Greek name,No Greek name
9328654,Pateobatis fai,1090,Pink Whipray,,,,,Sharks & Rays,VU,No Greek name,No Greek name
2359706,Rutilus rutilus,1037,Common Roach,,https://inaturalist-open-data.s3.amazonaws.com/photos/523855041/medium.jpg,https://www.inaturalist.org/observations/291170776,michal_michlewicz,Bony fish,LC,Τσιρόνι,Wikidata
2417495,Ginglymostoma cirratum,1035,Nurse Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/439764980/medium.jpeg,https://www.inaturalist.org/observations/246346292,CONANP_Reserva de la Biosfera Banco Chinchorro,Sharks & Rays,VU,Καρχαρίας τροφός,Wikidata
